n,strategy_name,strategy_family,candidate_group,first_track,last_track,center_track_index,first_track_norm,last_track_norm,mean_jump,median_jump,max_jump,min_jump,std_jump,total_jump,normalized_mean_jump,normalized_max_jump,adjacent_jump_count,long_jump_count,jump_entropy,running_center_distance_mean,early_center_bias,late_center_bias,edge_early_count,center_early_count,odd_even_transition_count,parity_switch_rate,monotonicity_fraction,direction_reversal_count,max_unvisited_gap_proxy_mean_norm,max_unvisited_gap_proxy_max_norm,is_raster_like,is_center_out_like,is_edge_in_like,is_odd_even_like,is_regular_jump_like,is_block_interleaved_like
24,N24_A02_odd_even_interlaced,odd_even,engineering_baseline,0,23,11.5,0.0,1.0,2.8260869565217392,2,21,2,3.8746912798541375,65,0.1228733459357278,0.9130434782608695,0,1,0.2580186686648155,0.5217391304347826,0.5652173913043478,0.5652173913043478,3,3,1,0.043478260869565216,0.9090909090909091,2,0.2690972222222222,0.9583333333333334,False,False,False,True,False,False
24,N24_A03_greedy_maximin_distance,maximin,engineering_baseline,0,22,11.5,0.0,0.9565217391304348,4.695652173913044,2,23,1,5.849078579301453,108,0.20415879017013233,1.0,8,4,2.33198056664107,0.5217391304347826,0.5652173913043478,0.608695652173913,3,3,10,0.43478260869565216,0.7272727272727273,6,0.19791666666666666,0.9583333333333334,False,False,False,False,False,False
24,N24_A04_method_c_u2_first_engineering,method_c,engineering_baseline,0,23,11.5,0.0,1.0,2.8260869565217392,2,12,2,2.680885219037912,65,0.1228733459357278,0.5217391304347826,0,1,0.5131851787372753,0.5217391304347826,0.5652173913043478,0.5652173913043478,3,3,1,0.043478260869565216,0.9090909090909091,2,0.2690972222222222,0.9583333333333334,False,False,False,False,False,False
24,N24_A05_center_out,center_out,engineering_baseline,11,23,11.5,0.4782608695652174,1.0,12.0,12,23,1,6.6332495807108,276,0.5217391304347826,1.0,1,12,4.523561956057013,0.5217391304347826,0.13043478260869565,0.9130434782608695,0,6,12,0.5217391304347826,0.0,22,0.25,0.5,False,True,False,False,False,False
24,N24_A06_edge_in_alternating,edge_in,engineering_baseline,0,12,11.5,0.0,0.5217391304347826,12.0,12,23,1,6.6332495807108,276,0.5217391304347826,1.0,1,12,4.523561956057013,0.5217391304347826,0.9130434782608695,0.13043478260869565,6,0,12,0.5217391304347826,0.0,22,0.4791666666666667,0.9583333333333334,False,False,True,False,False,False
24,N24_A07_regular_jump_coprime,regular_jump,engineering_baseline,0,13,11.5,0.0,0.5652173913043478,11.869565217391305,11,13,11,0.9914568913905548,273,0.5160680529300568,0.5652173913043478,0,10,0.9876925088958034,0.5217391304347826,0.5507246376811594,0.47826086956521735,3,3,23,1.0,0.09090909090909091,20,0.1840277777777778,0.9583333333333334,False,False,False,False,True,False
24,N24_A08_block_interleaved_quarters,block_interleaved,engineering_baseline,0,23,11.5,0.0,1.0,8.391304347826088,6,17,6,4.5371809906763705,193,0.3648393194706995,0.7391304347826086,0,5,0.7553754125614288,0.5217391304347826,0.5652173913043478,0.5652173913043478,3,3,5,0.21739130434782608,0.5454545454545454,10,0.19270833333333334,0.9583333333333334,False,False,False,False,False,True
24,N24_A09_center_edge_alternating,center_edge,engineering_baseline,11,18,11.5,0.4782608695652174,0.782608695652174,9.08695652173913,11,13,1,4.074448946238122,209,0.3950850661625709,0.5652173913043478,2,11,2.8227178048064157,0.5217391304347826,0.5217391304347826,0.5217391304347826,3,3,17,0.7391304347826086,0.5,11,0.2604166666666667,0.5,False,False,False,False,False,False
24,N24_A10_graph_pointer_policy_zero_shot_or_proxy_best,graph_pointer_proxy,proxy_fallback_policy,0,21,11.5,0.0,0.9130434782608695,8.826086956521738,7,23,1,6.856619612766753,203,0.38374291115311904,1.0,1,8,3.4642346527265664,0.5217391304347826,0.6666666666666666,0.4202898550724638,4,2,13,0.5652173913043478,0.36363636363636365,14,0.24131944444444445,0.9583333333333334,False,False,False,False,False,False
24,N24_A11_graph_pointer_policy_diverse_01,graph_pointer_proxy,proxy_fallback_policy,0,13,11.5,0.0,0.5652173913043478,8.73913043478261,8,21,1,5.518485861210308,201,0.3799621928166352,0.9130434782608695,1,7,3.4800836951874485,0.5217391304347826,0.681159420289855,0.30434782608695654,4,2,13,0.5652173913043478,0.4090909090909091,13,0.2534722222222222,0.9583333333333334,False,False,False,False,False,False
